School Name,State,Region,Starting Median Salary
Stanford University,California,California,"$70,400.00 "
California Institute of Technology (CIT),California,California,"$75,500.00 "
Harvey Mudd College,California,California,"$71,800.00 "
"University of California, Berkeley",California,California,"$59,900.00 "
Occidental College,California,California,"$51,900.00 "
Cal Poly San Luis Obispo,California,California,"$57,200.00 "
University of California at Los Angeles (UCLA),California,California,"$52,600.00 "
"University of California, San Diego (UCSD)",California,California,"$51,100.00 "
Pomona College,California,California,"$48,600.00 "
University of Southern California (USC),California,California,"$54,800.00 "
"University of California, Davis",California,California,"$52,300.00 "
"University of California, Irvine (UCI)",California,California,"$48,300.00 "
San Jose State University (SJSU),California,California,"$53,500.00 "
"University of California, Santa Barbara (UCSB)",California,California,"$50,500.00 "
"California State University (CSU), Chico",California,California,"$47,400.00 "
"California State University, Fullerton (CSUF)",California,California,"$45,700.00 "
San Francisco State University (SFSU),California,California,"$47,300.00 "
San Diego State University (SDSU),California,California,"$46,200.00 "
"California State University, Long Beach (CSULB)",California,California,"$45,100.00 "
"California State University, East Bay (CSUEB)",California,California,"$49,200.00 "
"University of California, Santa Cruz (UCSC)",California,California,"$44,700.00 "
"California State University, Sacramento (CSUS)",California,California,"$47,800.00 "
"University of California, Riverside (UCR)",California,California,"$46,800.00 "
"California State University, Northridge (CSUN)",California,California,"$45,500.00 "
"California State University, Dominguez Hills (CSUDH)",California,California,"$42,700.00 "
"California State University (CSU), Stanislaus",California,California,"$38,000.00 "
Humboldt State University,California,California,"$42,600.00 "
Thomas Aquinas College,California,California,"$41,500.00 "
Colorado School of Mines,Colorado,Western,"$58,100.00 "
University of Colorado - Boulder (UCB),Colorado,Western,"$47,100.00 "
New Mexico Institute of Mining and Technology (New Mexico Tech),New Mexico,Western,"$51,000.00 "
Brigham Young University (BYU),Utah,Western,"$49,400.00 "
University of Arizona,Arizona,Western,"$47,500.00 "
University of Washington (UW),Washington,Western,"$48,800.00 "
Washington State University (WSU),Washington,Western,"$45,300.00 "
University of Colorado - Denver,Colorado,Western,"$46,100.00 "
Arizona State University (ASU),Arizona,Western,"$47,400.00 "
Oregon State University (OSU),Oregon,Western,"$45,100.00 "
University of Utah,Utah,Western,"$45,400.00 "
"University of Nevada, Reno (UNR)",Nevada,Western,"$46,500.00 "
Seattle University,Washington,Western,"$48,300.00 "
University of Idaho,Idaho,Western,"$44,900.00 "
University of New Mexico (UNM),New Mexico,Western,"$41,600.00 "
University of Puget Sound,Washington,Western,"$46,600.00 "
Colorado College (CC),Colorado,Western,"$38,500.00 "
Reed College,Oregon,Western,"$40,500.00 "
Whitman College,Washington,Western,"$43,500.00 "
New Mexico State University,New Mexico,Western,"$44,300.00 "
Colorado State University (CSU),Colorado,Western,"$44,800.00 "
University of Wyoming (UW),Wyoming,Western,"$44,500.00 "
Utah State University,Utah,Western,"$43,800.00 "
